agency_cd,site_no,datetime,discharge_cfs,329706_00060_00003_cd
USGS,12436500,5/24/1970,192000,A:R
USGS,12436500,5/25/1970,188000,A:R
USGS,12436500,5/26/1970,183000,A:R
USGS,12436500,5/27/1970,183000,A:R
USGS,12436500,5/28/1970,191000,A:R
USGS,12436500,5/29/1970,191000,A:R
USGS,12436500,5/30/1970,190000,A:R
USGS,12436500,5/31/1970,195000,A:R
USGS,12436500,6/1/1970,212000,A:R
USGS,12436500,6/2/1970,214000,A:R
USGS,12436500,6/3/1970,211000,A:R
USGS,12436500,6/4/1970,188000,A:R
USGS,12436500,6/5/1970,154000,A:R
USGS,12436500,6/6/1970,137000,A:R
USGS,12436500,6/7/1970,133000,A:R
USGS,12436500,6/8/1970,132000,A:R
USGS,12436500,6/9/1970,139000,A:R
USGS,12436500,6/10/1970,148000,A:R
USGS,12436500,6/11/1970,159000,A:R
USGS,12436500,6/12/1970,163000,A:R
USGS,12436500,6/13/1970,163000,A:R
USGS,12436500,6/14/1970,163000,A:R
USGS,12436500,6/15/1970,162000,A:R
USGS,12436500,6/16/1970,169000,A:R
USGS,12436500,6/17/1970,192000,A:R
USGS,12436500,6/18/1970,153000,A:R
USGS,12436500,6/19/1970,152000,A:R
USGS,12436500,6/20/1970,151000,A:R
USGS,12436500,6/21/1970,151000,A:R
USGS,12436500,6/22/1970,153000,A:R
USGS,12436500,6/23/1970,157000,A:R
USGS,12436500,6/24/1970,148000,A:R
USGS,12436500,6/25/1970,137000,A:R
USGS,12436500,6/26/1970,128000,A:R
USGS,12436500,6/27/1970,119000,A:R
USGS,12436500,6/28/1970,118000,A:R
USGS,12436500,6/29/1970,119000,A:R
USGS,12436500,6/30/1970,120000,A:R
USGS,12436500,7/1/1970,125000,A:R
USGS,12436500,7/2/1970,128000,A:R
USGS,12436500,7/3/1970,123000,A:R
USGS,12436500,7/4/1970,119000,A:R
USGS,12436500,7/5/1970,120000,A:R
USGS,12436500,7/6/1970,123000,A:R
USGS,12436500,7/7/1970,128000,A:R
USGS,12436500,7/8/1970,127000,A:R
USGS,12436500,7/9/1970,121000,A:R
USGS,12436500,7/10/1970,119000,A:R
USGS,12436500,7/11/1970,109000,A:R
USGS,12436500,7/12/1970,110000,A:R
USGS,12436500,7/13/1970,114000,A:R
USGS,12436500,7/14/1970,110000,A:R
USGS,12436500,7/15/1970,105000,A:R
USGS,12436500,7/16/1970,106000,A:R
USGS,12436500,7/17/1970,105000,A:R
USGS,12436500,7/18/1970,107000,A:R
USGS,12436500,7/19/1970,106000,A:R
USGS,12436500,7/20/1970,108000,A:R
USGS,12436500,7/21/1970,123000,A:R
USGS,12436500,7/22/1970,122000,A:R
USGS,12436500,7/23/1970,108000,A:R
USGS,12436500,7/24/1970,113000,A:R
USGS,12436500,7/25/1970,106000,A:R
USGS,12436500,7/26/1970,85800,A:R
USGS,12436500,7/27/1970,82500,A:R
USGS,12436500,7/28/1970,114000,A:R
USGS,12436500,7/29/1970,135000,A:R
USGS,12436500,7/30/1970,147000,A:R
USGS,12436500,7/31/1970,118000,A:R
USGS,12436500,8/1/1970,103000,A:R
USGS,12436500,8/2/1970,106000,A:R
USGS,12436500,8/3/1970,102000,A:R
USGS,12436500,8/4/1970,98000,A:R
USGS,12436500,8/5/1970,103000,A:R
USGS,12436500,8/6/1970,116000,A:R
USGS,12436500,8/7/1970,109000,A:R
USGS,12436500,8/8/1970,109000,A:R
USGS,12436500,8/9/1970,105000,A:R
USGS,12436500,8/10/1970,104000,A:R
USGS,12436500,8/11/1970,104000,A:R
USGS,12436500,8/12/1970,103000,A:R
USGS,12436500,8/13/1970,88600,A:R
USGS,12436500,8/14/1970,110000,A:R
USGS,12436500,8/15/1970,114000,A:R
USGS,12436500,8/16/1970,88800,A:R
USGS,12436500,8/17/1970,105000,A:R
USGS,12436500,8/18/1970,108000,A:R
USGS,12436500,8/19/1970,105000,A:R
USGS,12436500,8/20/1970,99500,A:R
USGS,12436500,8/21/1970,94100,A:R
USGS,12436500,8/22/1970,85700,A:R
